action,resource_type,paths,disclosure,audit
glaucoma_ai.workspace.view,project,scoped_role|admin_break_glass,masked,optional
grading.arbitrator.submit,grading_task,qualified_slot,masked,optional
grading.grades.view,grading_task,participant|admin_break_glass,masked,optional
grading.resident.submit,grading_task,qualified_slot,masked,optional
grading.resident2.submit,grading_task,qualified_slot,masked,optional
grading.workbench.acquire,workbench_acquisition_target,qualified_exact_acquisition,identifier_in_place,required
grading.workbench.revision.acquire,workbench_acquisition_target,owned_qualified_revision,identifier_in_place,required
grading.workbench.session.draft,workbench_session,owned_credentialed_session,identifier_in_place,required
grading.workbench.session.heartbeat,workbench_session,owned_credentialed_session,identifier_in_place,required
grading.workbench.session.release,workbench_session,owned_credentialed_session,identifier_in_place,required
grading.workbench.session.resume,workbench_session,owned_active_session,identifier_in_place,required
grading.workbench.session.submit,workbench_session,owned_credentialed_session,identifier_in_place,required
grading.workbench.session.view,workbench_session,owned_credentialed_session,identifier_in_place,optional
grading.workbench.sessions.list,screen,authenticated_screen,masked,optional
grading.workbench.submissions.list,screen,authenticated_screen,masked,optional
help.view,public,public,masked,optional
inference.wai.retrospective.run,inference_target,scoped_role|admin_break_glass|stored_automation_rule,masked,optional
inference.wai.retry,job,scoped_role|admin_break_glass|stored_automation_rule,masked,required
inference.wai.rows,inference_result,scoped_role|admin_break_glass,identifier_in_place,optional
inference.wai.run,inference_target,scoped_role|admin_break_glass|stored_automation_rule,masked,optional
inference.wai.summary,screen,authenticated_screen|admin_break_glass,masked,optional
intra_rater.batch.create,intra_rater_batch_target,scoped_role|admin_break_glass,masked,optional
intra_rater.batch.view,screen,authenticated_screen|admin_break_glass,masked,optional
intra_rater.kpi.view,screen,authenticated_screen|admin_break_glass,masked,optional
intra_rater.task.submit,intra_rater_task,scoped_role,masked,optional
intra_rater.task.view,intra_rater_task,scoped_role|admin_break_glass,masked,optional
intra_rater.tasks.list,screen,authenticated_screen|admin_break_glass,masked,optional
jobs.regenerate,job,scoped_role|admin_break_glass,masked,required
jobs.result.view,job,owner|scoped_role|admin_break_glass,masked,optional
jobs.view,screen,authenticated_screen|admin_break_glass,masked,optional
media.image.view,image,scoped_role|admin_break_glass|signed_credential,masked,optional
media.metadata.process,image,scoped_role|admin_break_glass,masked,optional
media.metadata.raw.read,image,scoped_role|admin_break_glass,identifier_in_place,optional
media.metadata.read,image,scoped_role|admin_break_glass,masked,optional
media.ocr_pii.process,image,scoped_role|admin_break_glass,identifier_in_place,optional
media.ocr_pii.read,image,scoped_role|admin_break_glass,identifier_in_place,optional
media.pdf.view,encounter_file,scoped_role|admin_break_glass|signed_credential,identifier_in_place,optional
mobile.context.view,user,self,masked,optional
mobile.field.encounter.capture,encounter,scoped_role|admin_break_glass,masked,optional
mobile.field.encounter.view,encounter,scoped_role|admin_break_glass,masked,optional
mobile.field.inference.run,encounter,scoped_role|admin_break_glass,masked,optional
mobile.field.project.sync,project,scoped_role|admin_break_glass,masked,optional
mobile.field.project.view,project,scoped_role|admin_break_glass,masked,optional
mobile.field.projects.list,screen,authenticated_screen|admin_break_glass,masked,optional
mobile.session.detail.view,mobile_session,self,masked,optional
mobile.session.list,user,self,masked,optional
mobile.session.revoke,mobile_session,self,masked,optional
mobile.upload.create,project_upload_target,scoped_upload_profile|admin_break_glass,identifier_in_place,optional
mobile.upload.inference.retry,job,mobile_owner|admin_owner,masked,optional
mobile.upload.options.view,user,self,masked,optional
mobile.upload.view,job,mobile_owner|admin_owner,masked,optional
notifications.send,notification_target,admin_break_glass,masked,optional
preprocess.dashboard.view,screen,authenticated_screen|admin_break_glass,masked,optional
preprocess.image.update,image,scoped_role|admin_break_glass,identifier_in_place,optional
project.access.manage,project,scoped_role|admin_break_glass,masked,required
project.encountersets.browse,encounter_set,scoped_role|admin_break_glass,masked,optional
project.encountersets.browse_pii,encounter_set,scoped_role|admin_break_glass,identifier_in_place,optional
project.encountersets.workspace.view,screen,authenticated_screen|admin_break_glass,masked,optional
project.encountersets.workspace.view_pii,screen,authenticated_screen|admin_break_glass,masked,optional
project.grader_allocations.enforcement.manage,project,scoped_role|admin_break_glass,masked,optional
project.grader_allocations.manage,project_allocation_target,scoped_role|admin_break_glass,masked,optional
project.grader_allocations.view,project_allocation_plan,scoped_role|admin_break_glass,masked,optional
project.grants.view,project,scoped_role|admin_break_glass,masked,optional
project.remidio.attachment_ocr.process,project,scoped_role|admin_break_glass,identifier_in_place,required
project.remidio.attachment_ocr.view,project,scoped_role|admin_break_glass,identifier_in_place,optional
project.remidio.sync,remidio_project_sync_target,scoped_upload_profile|admin_break_glass,identifier_in_place,required
project.remidio.sync_job.manage,job,owner|scoped_role|admin_break_glass,identifier_in_place,required
project.remote_inference_batch.run,remote_inference_batch,scoped_role|admin_break_glass,masked,optional
project.remote_inference_config.manage,project,scoped_role|admin_break_glass,masked,optional
project.remote_inference_config.view,project,scoped_role|admin_break_glass,masked,optional
project.remote_inference_job.resume,job,scoped_role|admin_break_glass,masked,optional
project.site_policy.manage,project_site_policy,scoped_role|admin_break_glass,masked,optional
project.upload.create,project_upload_target,scoped_upload_profile|admin_break_glass,identifier_in_place,optional
project.upload.pregraded,project_upload_target,scoped_upload_profile|admin_break_glass,identifier_in_place,optional
project.upload.workspace.view,screen,authenticated_screen|admin_break_glass,masked,optional
project.uploaders.manage,project,scoped_role|admin_break_glass,masked,required
project.view,project,scoped_role|admin_break_glass,masked,optional
project.wai.results,project,scoped_role|admin_break_glass,masked,optional
project.wai.run,project,scoped_role|admin_break_glass|stored_automation_rule,masked,optional
public.analytics.view,public,public,masked,optional
public.view,public,public,masked,optional
remidio.attachment_ocr.process,remidio_attachment,scoped_role|admin_break_glass,identifier_in_place,required
remidio.attachment_ocr.view,remidio_attachment,scoped_role|admin_break_glass,identifier_in_place,optional
reports.view,report,scoped_role|admin_break_glass,masked,optional
review.discrepancy.export,discrepancy,scoped_role|admin_break_glass,masked,required
review.discrepancy.export_identifiers,discrepancy,scoped_role|admin_break_glass,identifier_release,required
review.discrepancy.view,discrepancy,scoped_role|admin_break_glass,masked,optional
review.regrade.adjudicate,grading_task,scoped_role|admin_break_glass,masked,optional
review.regrade_creator.manage,grading_task,scoped_role|admin_break_glass,masked,optional
review.task.submit,grading_task,scoped_role|admin_break_glass,masked,optional
review.task.view,grading_task,scoped_role|admin_break_glass,masked,optional
screenings.delete,encounter,scoped_role|admin_break_glass,identifier_in_place,optional
screenings.reprocess,encounter,scoped_role|admin_break_glass,identifier_in_place,optional
screenings.view,encounter,scoped_role|admin_break_glass,identifier_in_place,optional
search.view,screen,authenticated_screen|admin_break_glass,masked,optional
tasks.view,screen,authenticated_screen|admin_break_glass,masked,optional
tasks.viewer.view,image,scoped_role|admin_break_glass,masked,optional
upload.create,upload_target,scoped_upload_profile|admin_break_glass,identifier_in_place,optional
upload.direct.batch.update,direct_upload_batch,scoped_role|admin_break_glass,identifier_in_place,optional
upload.direct.edit_image,image,scoped_role|admin_break_glass,identifier_in_place,optional
upload.direct.update,direct_image_upload,scoped_role|admin_break_glass,identifier_in_place,optional
upload.direct.view,direct_image_upload,scoped_role|admin_break_glass,identifier_in_place,optional
upload.lab_unit.view,upload_lab_unit,scoped_role|admin_break_glass,masked,optional
upload.pregraded.create,upload_target,scoped_upload_profile|admin_break_glass,identifier_in_place,optional
upload.pregraded.workspace.view,screen,authenticated_screen|admin_break_glass,masked,optional
upload.workspace.view,screen,authenticated_screen|admin_break_glass,masked,optional
upload.zip.view,upload_job,scoped_role|admin_break_glass,identifier_in_place,optional
verification.direct.update,direct_image_upload,scoped_role|admin_break_glass,identifier_in_place,optional
verification.direct.view,direct_image_upload,scoped_role|admin_break_glass,identifier_in_place,optional
verification.encounter_set.update,encounter,scoped_role|admin_break_glass,identifier_in_place,optional
verification.encounter_set.view,encounter,scoped_role|admin_break_glass,identifier_in_place,optional
verification.remidio.update,encounter,scoped_role|admin_break_glass,identifier_in_place,optional
verification.remidio.view,encounter,scoped_role|admin_break_glass,identifier_in_place,optional
